"nivel";"nome";"creditos";"carga_horaria"
"1";"Administração";"4";"60"
"1";"Contabilidade";"4";"60"
"1";"Economia";"4";"60"
"1";"Matemática";"4";"60"
"1";"Raciocínio Lógico e Analítico";"4";"60"
"2";"Comunicação e Persuasão";"2";"30"
"2";"Contabilidade Gerencial";"4";"60"
"2";"Estatística";"4";"60"
"2";"Filosofia e Ética Geral";"4";"60"
"2";"Inovação e Desenvolvimento";"2";"30"
"2";"Matemática Financeira";"4";"60"
"3";"Análise de Cenários Econômicos";"2";"30"
"3";"Comportamento Organizacional";"4";"60"
"3";"Direito Empresarial";"4";"60"
"3";"Disciplinas Eletivas";"0";"0"
"3";"Estatística Aplicada";"2";"30"
"3";"Finanças Corporativas de Curto Prazo";"4";"60"
"4";"Desafios da Liderança";"4";"60"
"4";"Finanças Corporativas de Longo Prazo";"4";"60"
"4";"Humanismo e Cultura Religiosa";"4";"60"
"4";"Macroeconomia I";"4";"60"
"5";"Administração de Operações e Serviços";"4";"60"
"5";"Administração de Pessoas";"4";"60"
"5";"Marketing";"4";"60"
"5";"Metodologia de Pesquisa";"2";"30"
"5";"Outsourcing e Franchising";"2";"30"
"5";"Processo Decisório";"2";"30"
"5";"Sustentabilidade";"2";"30"
"5";"Tópicos Especiais de Administração I";"2";"30"
"6";"Administração da Informação";"2";"30"
"6";"Administração de Materiais e Logística";"4";"60"
"6";"Administração de Vendas";"2";"30"
"6";"Negócios Digitais";"4";"60"
"6";"Orçamento Empresarial";"4";"60"
"6";"Pesquisa de Marketing - Técnicas Qualitativas";"2";"30"
"6";"Topicos Especiais de Administração II";"2";"30"
"7";"Cenários Econômicos";"2";"30"
"7";"Disciplinas Eletivas";"12";"180"
"7";"Estratégia Empresarial";"4";"60"
"7";"Estágio Supervisionado (240h)";"16";"240"
"7";"Gestão de Projetos";"2";"30"
"7";"Jogos Empresariais";"2";"30"
"7";"Pesquisa Operacional";"2";"30"
"7";"Tópicos Especiais de Administração III";"4";"60"
"8";"Atividades Complementares (120 Horas)";"8";"120"
"8";"Internacionalização de Empresas";"4";"60"
"8";"Logística Internacional";"4";"60"
"8";"Trabalho de Conclusão de Curso (240h)";"16";"240"
"8";"Tópicos Contemporâneos da Administração";"4";"60"
