"nivel";"nome";"creditos";"carga_horaria"
"1";"Desenho Geométrico";"2";"30"
"1";"Expressão e Representacão I";"3";"45"
"1";"Fundamentos da Arquitetura Sustenável";"2";"30"
"1";"Geometria Descritiva I";"3";"45"
"1";"Introdução à Arquitetura e Urbanismo";"3";"45"
"1";"Introdução à Arquitetura do Século Xx";"2";"30"
"1";"Matemática para Arquitetura";"3";"45"
"1";"Termomecânica para Arquitetura";"3";"45"
"2";"Arquitetura da Antiguidade à Idade Média";"3";"45"
"2";"Ateliê de Arquitetura I";"6";"90"
"2";"Ateliê de Paisagismo I";"3";"45"
"2";"Disciplina Eletiva";"12";"180"
"2";"Expressão e Representação II";"3";"45"
"2";"Geometria Descritiva II";"3";"45"
"2";"Maquete";"3";"45"
"2";"Tecnologia dos Materiais";"2";"30"
"2";"Topografia para Arquitetura";"3";"45"
"3";"Arq. do Renascimento ao Neoclassicismo";"3";"45"
"3";"Ateliê de Arquitetura II";"6";"90"
"3";"Ateliê de Paisagismo II";"6";"90"
"3";"Conforto Térmico e Acústico";"3";"45"
"3";"Estética e História da Arte";"2";"30"
"3";"Expressão e Representação III";"3";"45"
"3";"Sistemas Estruturais I";"3";"45"
"3";"Tecnologia dos Sistemas Construtivos I";"3";"45"
"4";"Arquitetura da Sociedade Industrial";"3";"45"
"4";"Ateliê de Arquitetura III";"6";"90"
"4";"Ateliê de Urbanismo I";"6";"90"
"4";"Expressão e Representação IV";"3";"45"
"4";"Fundamentos da Urbanização";"2";"30"
"4";"Instalações Prediais I";"3";"45"
"4";"Sistemas Estruturais II";"3";"45"
"5";"Arquitetura Moderna e Contemporânea";"3";"45"
"5";"Ateliê de Arquitetura IV";"6";"90"
"5";"Ateliê de Urbanismo II";"6";"90"
"5";"Expressão e Representação V";"3";"45"
"5";"Instalações Prediais II";"3";"45"
"5";"Saída de Campo I";"1";"15"
"5";"Tecnologia dos Sistemas Construtivos II";"3";"45"
"5";"Teoria e Hisória do Design";"2";"30"
"5";"Visualidade e Significação";"2";"30"
"6";"Arquitetura na América Latina";"3";"45"
"6";"Ateliê de Arquitetura V";"6";"90"
"6";"Ateliê de Design";"6";"90"
"6";"Ateliê de Paisagismo III";"6";"90"
"6";"Expressão e Representação VI";"3";"45"
"6";"Instalações Prediais III";"2";"30"
"6";"Sistemas Estruturais III";"3";"45"
"7";"Arquitetura no Brasil";"3";"45"
"7";"Ateliê de Arquitetura VI";"6";"90"
"7";"Ateliê de Urbanismo III";"6";"90"
"7";"Patrimônio e Restauro";"3";"45"
"7";"Saida de Campo II";"1";"15"
"8";"Arquitetura no Rio Grande do Sul";"3";"45"
"8";"Ateliê de Arquitetura de Interiores";"3";"45"
"8";"Ateliê de Habitação de Interesse Social";"6";"90"
"8";"Ateliê de Planejamento Urbano e Regional";"6";"90"
"8";"Estágio Supervisionado";"8";"120"
"8";"Humanismo e Cultura Religiosa";"4";"60"
"8";"Pensamento Arquitetônico Contemporâneo";"2";"30"
"9";"Arquitetura e Gestão";"2";"30"
"9";"Atelie de Projetos Especiais";"6";"90"
"9";"Organização do Trabalho e Legislação";"2";"30"
"9";"TCC I";"4";"60"
"9";"Ética e Cidadania";"4";"60"
"10";"Atividades Complementares (120 Horas)";"8";"120"
"10";"TCC II";"6";"90"
