"nivel";"nome";"creditos";"carga_horaria"
"1";"Ciência Política: Estado e Constituição";"4";"60"
"1";"Economia Aplicada Ao Direito";"2";"30"
"1";"Filosofia e Ética Geral";"4";"60"
"1";"História do Direito";"2";"30"
"1";"Iniciação Profissional: Ambiência Jurídica - Pesquisa e Prática (45h)";"3";"45"
"1";"Sociologia Aplicada Ao Direito";"2";"30"
"1";"Teoria Geral do Direito";"4";"60"
"2";"Criminologia";"2";"30"
"2";"Direito Civil I: Teoria Geral do Direito Civil";"4";"60"
"2";"Direito Constitucional I: Teoria da Constitucional e Direitos Fundamentais";"4";"60"
"2";"Direito Penal I: Teoria Geral da Norma Penal";"4";"60"
"2";"Disciplina Eletiva";"12";"180"
"2";"Psicologia Aplicada Ao Direito";"2";"30"
"3";"Direito Civil Ii: Direito das Obrigações I";"4";"60"
"3";"Direito Constitucional II: Organização do Estado e dos Poderes";"4";"60"
"3";"Direito Penal Ii: Teoria Geral do Crime";"4";"60"
"3";"Teoria Geral do Processo e Organização Judiciária";"4";"60"
"4";"Direito Civil III: Direito das Obrigações II";"2";"30"
"4";"Direito Constitucional Iii: Processo Constitucional - Pesquisa e Prática (45h)";"3";"45"
"4";"Direito Penal III: Teoria da Pena";"4";"60"
"4";"Direito Processual Civil I: Processo de Conhecimento - Pesquisa e Prática (75h";"5";"75"
"4";"Humanismo e Cultura Religiosa";"4";"60"
"5";"Direito Civil IV: Teoria Geral dos Contratos";"4";"60"
"5";"Direito Empresarial I: Teroia Geral do Direito Empresarial e das Sociedades";"4";"60"
"5";"Direito Internacional Público (Semipresencial)";"4";"60"
"5";"Direito Penal Iv: Crimes de Espécie";"4";"60"
"5";"Direito Processual Civil Ii: Coisa Julgada e Recursos - Pesquisa e Prática (75h)";"5";"75"
"5";"Legislação e Ética Profissional - Pesquisa e Prática (45h";"3";"45"
"6";"Direito Administrativo I: Teoria Geral do Direito Administrativo";"4";"60"
"6";"Direito Civil V: Contratos em Espécie - Pesquisa e Prática (75h)";"5";"75"
"6";"Direito Empresarial Ii: Sociedades Anônimas";"4";"60"
"6";"Direito Processual Civil III: Processo de Execução - Pesquisa e Prática (75h)";"5";"75"
"6";"Direito Processual Penal I: Teoria Geral do Processo Penal - Pesquisa e Prática (75h)";"5";"75"
"6";"Proficiência em Língua Portuguesa";"1";"15"
"7";"DIR. ADM. II: REL. JURÍDIC.-ADMINI.";"4";"60"
"7";"DIR. PROC.CIVIL IV: PROC. CAUT.-PESQ. E PRÁT.45H";"3";"45"
"7";"DIR.PROC.PENAL II:NUL. E M.DE IMP.P. E PR..75H";"5";"75"
"7";"Direito Civil Vi: Responsabilidade Civil";"2";"30"
"7";"Direito Empresarial III: Títulos de Créditos";"2";"30"
"7";"Direito do Trabalho I: Relação de Emprego e Contrato de Trabalho";"4";"60"
"7";"Metodologia de Pesquisa Jurídica (Semipresencial)";"3";"45"
"8";"Direito Civil VII: Direitos Reais";"4";"60"
"8";"Direito Empresarial Iv: Falência e Recuperação de Empresas";"4";"60"
"8";"Direito Processual Civil V: Ações e Procedimentos Especiais - Pesquisa e Prática (75h)";"5";"75"
"8";"Direito do Trabalho Ii: Normas de Proteção do Trabalho";"4";"60"
"8";"Prática de Processo Penal Estágio Supervisionado (90h)";"6";"90"
"8";"Trabalho de Conclusão de Curso (140h)";"9";"140"
"9";"Direito Ambiental";"2";"30"
"9";"Direito Civil VIII: Direito de Família";"4";"60"
"9";"Direito Processual do Trabalho - Pesquisa e Prática (75h)";"5";"75"
"9";"Direito Tributário I: Fundamentos de Direito Tributário";"4";"60"
"9";"Filosofia do Direito";"2";"30"
"9";"Prática de Processo Civil - Estágio Supervisionado (90h)";"6";"90"
"10";"Atividades Complementares (200 Horas)";"13";"200"
"10";"Direito Civil IX: Direito das Sucessões";"2";"30"
"10";"Direito Coletivo do Trabalho";"2";"30"
"10";"Direito Internacional Privado";"2";"30"
"10";"Direito Previdenciário";"2";"30"
"10";"Direito Tributário Ii: Tributário em Espécie";"4";"60"
"10";"Direito do Consumidor";"2";"30"
"10";"Hermenêutica e Argumentação Jurídica (Semipresencial";"3";"45"
"10";"Prática Fiscal - Estágio Supervisionado (60h)";"4";"60"
"10";"Prática de Processo do Trabalho - Estágio Supervisionado (60h)";"4";"60"
