"nivel";"nome";"creditos";"carga_horaria"
"1";"Anatomia Humana";"4";"60"
"1";"Biologia Celular";"3";"45"
"1";"Introdução À Profissão Biomédica";"2";"30"
"1";"Laboratório de Química Geral";"2";"30"
"1";"Matemática";"4";"60"
"1";"Parasitologia";"2";"30"
"1";"Química Geral";"4";"60"
"2";"Bioestatística A";"2";"30"
"2";"Biofísica";"4";"60"
"2";"Bioquímica Estrutural";"4";"60"
"2";"Fisiologia Humana";"6";"90"
"2";"Histologia e Embriologia Geral";"3";"45"
"2";"Parasitologia Clínica";"2";"30"
"2";"Química Orgânica I";"4";"60"
"3";"Biologia Molecular";"4";"60"
"3";"Bioquímica Metabólica";"4";"60"
"3";"Biossegurança";"2";"30"
"3";"Genética I";"4";"60"
"3";"Hematologia Clínica";"4";"60"
"3";"Microbiologia Básica e de Alimentos";"4";"60"
"3";"Patologia";"2";"30"
"4";"Cosmetologia";"3";"45"
"4";"Disciplinas Eletivas";"12";"180"
"4";"Farmacologia Básica";"2";"30"
"4";"Fundamentos de Biomedicina Estética I";"4";"60"
"4";"Hematologia e Citologia Clínica";"4";"60"
"4";"Imunologia";"4";"60"
"4";"Microbiologia Clínica";"4";"60"
"5";"Bioquímica Clínica I";"4";"60"
"5";"Biotecnologia";"2";"30"
"5";"Diagnostico Molecular";"4";"60"
"5";"Formação do Empreendedor";"2";"30"
"5";"Fundamentos de Biomedicina Estética II";"4";"60"
"5";"Física das Radiações para Ciências Biomédicas";"4";"60"
"5";"Gestão da Qualidade em Biomedicina";"4";"60"
"5";"Trabalho Integrado em Saúde";"2";"30"
"6";"Bioquímica Clínica II";"4";"60"
"6";"Epidemiologia, Vigilância em Saúde e Doenças Transmissíveis";"4";"60"
"6";"Estágio I (160h)";"11";"160"
"6";"Fundamentos de Imagens Médicas";"4";"60"
"6";"Imunologia Clínica";"6";"90"
"6";"Toxicologia";"4";"60"
"7";"Biologia do Envelhecimento Humano";"4";"60"
"7";"Deontologia e Legislação Biomédica";"2";"30"
"7";"Estágio II (160h)";"11";"160"
"7";"Humanismo e Cultura Religiosa";"4";"60"
"7";"Pesquisa em Saúde";"2";"30"
"7";"Tópicos Avançados em Biomedicina";"2";"30"
"8";"Atividades Complementares";"10";"150"
"8";"Estágio III (380h)";"25";"380"
"8";"Filosofia e Bioética";"4";"60"
"8";"Trabalho de Conclusão de Curso";"6";"90"
