"nivel";"nome";"creditos";"carga_horaria"
"1";"Cálculo A (CC)";"4";"60"
"1";"Fundamentos de Programação";"6";"90"
"1";"Fundamentos do Raciocínio Lógico";"4";"60"
"1";"Introdução à Ciência da Computação";"4";"60"
"1";"Matemática Concreta";"4";"60"
"1";"Matemática Discreta (CC)";"4";"60"
"2";"Algoritmos e Estrutura de Dados I";"4";"60"
"2";"Cálculo B (CC)";"4";"60"
"2";"Disciplina Eletiva";"10";"150"
"2";"Fundamentos de Sistemas Digitais";"4";"60"
"2";"Lógica para Computação";"4";"60"
"2";"Programação Orientada a Objetos";"4";"60"
"2";"Programação de Baixo Nível";"2";"30"
"3";"Algoritmos e Estrutura de Dados II";"4";"60"
"3";"Linguagens Formais e Autômatos";"4";"60"
"3";"Metodologia Científica e Escrita para Computação";"4";"60"
"3";"Organização e Arquitetura de Computadores I";"4";"60"
"3";"Programação Funcional";"4";"60"
"3";"Técnicas de Programação";"4";"60"
"3";"Álgebra Linear e Geometria Analítica";"4";"60"
"4";"Disciplina Integradora I (Lógica e Programação)";"2";"30"
"4";"Engenharia de Software";"4";"60"
"4";"Fundamentos de Banco de Dados";"4";"60"
"4";"Modelos para Computação Concorrente";"2";"30"
"4";"Organização e Arquitetura de Computadores II";"4";"60"
"4";"Probabilidade e Estatística para Computação";"4";"60"
"4";"Teoria da Computabilidade e Complexidade";"4";"60"
"5";"Disciplina Integradora II (Iniciação Científica)";"2";"30"
"5";"Engenharia de Software Orientada a Modelos";"4";"60"
"5";"Fundamentos de Computação Gráfica";"4";"60"
"5";"Métodos Formais para Computação";"4";"60"
"5";"Métodos Numéricos";"4";"60"
"5";"Projeto e Otimização de Algoritmos";"4";"60"
"5";"Sistemas Operacionais";"4";"60"
"6";"Disciplina Integradora III (Especificação e Contrução de Sistemas)";"2";"30"
"6";"Fundamentos de Inteligência Artificial";"4";"60"
"6";"Humanismo e Cultura Religiosa";"4";"60"
"6";"Implementação de Sistemas de Bancos de Dados";"4";"60"
"6";"Interpretação de Linguagens de Programação";"4";"60"
"6";"Introdução à Redes de Computadores";"4";"60"
"6";"Laboratório de Sistemas Operacionais";"4";"60"
"7";"Computação Paralela";"4";"60"
"7";"Construção de Compiladores";"4";"60"
"7";"Laboratório de Redes de Computadores";"2";"30"
"7";"Projeto e Implementação de Sistemas Interativos";"4";"60"
"7";"Redes de Computadores Avançadas";"4";"60"
"7";"Simulação e Métodos Analíticos";"4";"60"
"8";"Atividades Complementares (110 horas)";"7";"110"
"8";"Disciplina Integradora IV (Trabalho de Conclusão)";"2";"30"
"8";"Empreendimentos Empresariais";"4";"60"
"8";"Projeto de Desenvolvimento de Jogos";"4";"60"
"8";"Sistemas Distribuídos";"4";"60"
"8";"Sistemas Inteligentes Autônomos";"4";"60"
"8";"Ética e Filosofia da Ciência";"4";"60"
