"nivel";"nome";"creditos";"carga_horaria"
"1";"Cert. de Conhec. Teo. de Pil. Privado - Avião";"4";"60"
"1";"Física para Aeronáutica I";"6";"90"
"1";"Geografia Aplicada";"2";"30"
"1";"História da Aviação";"4";"60"
"1";"Matemática para Ciências Aeronáuticas";"4";"60"
"1";"Medicina Aeroespacial";"3";"45"
"1";"Organização do Transporte Aéreo";"3";"45"
"1";"Tecnicas de Pilotagem - Pc/ Vfr";"1";"15"
"1";"Ética e Cidadania";"4";"60"
"2";"Conhecimentos Técnicos de Aeronaves";"4";"60"
"2";"Física para Aeronáutica II";"6";"90"
"2";"Inglês Aplic. a Aviação I - Intermediário";"4";"60"
"2";"Navegação Aérea";"5";"75"
"2";"Regulamento de Tráfego Aéreo Nacional";"4";"60"
"2";"Teoria de Voo de Baixa Velocidade";"4";"60"
"3";"Cert. de Conhec. Teo. de Pil. Com. / Ifr - Avião";"4";"60"
"3";"Direito Aeroespacial";"2";"30"
"3";"Eletiva em Ciências Aeronáuticas (e)";"8";"120"
"3";"Fraseologia Aeronáutica Nacional";"2";"30"
"3";"Inglês Aplic. a Aviação II - Intermediário";"4";"60"
"3";"Licença de Piloto Privado - Avião";"4";"60"
"3";"Meteorologia Aeronáutica I";"4";"60"
"3";"Sistema de Invest. e Prev. de Acidentes";"4";"60"
"3";"Sistemas de Aeronaves";"5";"75"
"3";"Teoria de Voo Alta Velocidade";"2";"30"
"3";"Técnicas de Pilotagem - Pc/ Ifr";"2";"30"
"4";"Emergência, Segurança e Sobrevivência";"4";"60"
"4";"Fraseologia Aeronáutica Internacional";"2";"30"
"4";"Humanismo e Cultura Religiosa";"4";"60"
"4";"Inglês Aplic a Aviac. III/ Pré-Avançado";"2";"30"
"4";"Marketing Aplic. ao Transporte Aéreo";"2";"30"
"4";"Meteorologia Aeronáutica II";"2";"30"
"4";"Motores Aeronáuticos";"2";"30"
"4";"Prat. de Voo em Simul. - Ifr/ Mono (60 H)";"4";"60"
"4";"Psicologia Aeronáutica";"2";"30"
"4";"Segurança de Voo para Pilotos";"4";"60"
"4";"Tráfego Aéreo Internacional";"3";"45"
"5";"Aviônica";"4";"60"
"5";"Comunicação Aeronáutica";"2";"30"
"5";"Estrutura e Manutenção de Aeronaves";"2";"30"
"5";"Gerenc. de Recursos de Equipes - Crm";"4";"60"
"5";"Gestão Aplicada à Aviação";"2";"30"
"5";"Legislação Aeronáutica";"2";"30"
"5";"Licença de Piloto Comercial - Avião";"4";"60"
"5";"Performance, Peso e Balanc. de Aeronaves";"4";"60"
"5";"Prat de Voo em Sim - Ifr/ Multiloft (6o H)";"4";"60"
"5";"Procedimentos Operacionais de Cockpit";"2";"30"
"5";"Terminologia Técnica Aeronáutica";"4";"60"
"5";"Trabalho de Conclusão de Curso I";"1";"15"
"5";"Técnicas de Pilotagem - Pc/ Multi";"2";"30"
"6";"Atividades Complementares (105 H)";"7";"105"
"6";"Familiarização com Aeronaves Comerciais";"2";"30"
"6";"Filosofia e Estrut. de Operações de Voo";"2";"30"
"6";"Formação do Instrutor de Voo";"4";"60"
"6";"Fraseologia Aeronáutica - Voo Simulado";"3";"45"
"6";"Inglês Aplicado A Aviação IV - Avançado";"2";"30"
"6";"Planejamento do Transporte Aéreo";"2";"30"
"6";"Prat. de Voo em Sim. de Voo - Jet (45 H)";"3";"45"
"6";"Regulamentos de Tráfego Aéreo";"2";"30"
"6";"Sist. de Gestão de Seguranca Operacional";"4";"60"
"6";"Trabalho de Conclusão de Curso II";"1";"15"
"6";"Técnica de Operação de Jato";"3";"45"
