"nivel";"nome";"creditos";"carga_horaria"
"1";"Administração";"4";"60"
"1";"Contabilidade";"4";"60"
"1";"Economia";"4";"60"
"1";"Matemática";"4";"60"
"1";"Raciocínio Lógico e Analítico";"4";"60"
"2";"Comunicação e Persuasão";"2";"30"
"2";"Contabilidade Gerencial";"4";"60"
"2";"Estatística";"4";"60"
"2";"Filosofia e Ética Geral";"4";"60"
"2";"Inovação e Desenvolvimento";"2";"30"
"2";"Matemática Financeira";"4";"60"
"3";"Análise de Cenários Econômicos";"2";"30"
"3";"Contabilidade Geral e Comercial";"4";"60"
"3";"Direito Empresarial";"4";"60"
"3";"Disciplinas Eletivas";"0";"0"
"3";"Finanças Corporativas de Curto Prazo";"4";"60"
"3";"Legislação e Ética Profissional";"2";"30"
"4";"Apuração e Análise de Custos";"4";"60"
"4";"Encargos e Contribuições Sociais";"4";"60"
"4";"Finanças Corporativas de Longo Prazo";"4";"60"
"4";"Gestão Tributária Municipal, Estadual e Federal";"4";"60"
"4";"Humanismo e Cultura Religiosa";"4";"60"
"4";"Macroeconomia I";"4";"60"
"5";"Contabilidade para Segmentos Específicos";"4";"60"
"5";"Disciplina Eletiva";"12";"180"
"5";"Elaboração das Demonstrações Contábeis";"4";"60"
"5";"Gestão Tributária e Obrigações Sociais para Peq. Empresas";"4";"60"
"5";"Metodologia de Pesquisa";"2";"30"
"5";"Processo Decisório";"2";"30"
"5";"Sustentabilidade";"2";"30"
"6";"Análise das Demonstrações Contábeis";"4";"60"
"6";"Contabilidade Governamental";"4";"60"
"6";"Contabilidade Societária";"4";"60"
"6";"Controladoria Geral";"4";"60"
"6";"Laboratório de Tributos - Est. Superv.";"4";"60"
"7";"Controladoria Estratégica";"4";"60"
"7";"Controladoria Orçamentaria";"4";"60"
"7";"Normas de Auditoria";"4";"60"
"7";"Prat. Prof. em Ciências Contábeis I (240h)";"16";"240"
"7";"Tópicos de Contabilidade Avançada";"4";"60"
"8";"Atividades Complementares (120 Horas)";"8";"120"
"8";"Auditoria Aplicada";"4";"60"
"8";"Governança Corporativa";"4";"60"
"8";"Perícia Contabil, Arbitragem e Avaliações";"4";"60"
"8";"Prat. Prof. em Ciências Contábeis II (240h)";"16";"240"
