"nivel";"nome";"creditos";"carga_horaria"
"1";"Anatomia Humana Geral";"4";"60"
"1";"BiofÍsica";"3";"45"
"1";"BioquÍmica";"4";"60"
"1";"Fundamentos de Enfermagem e Segurança do Paciente I";"2";"30"
"1";"Histologia e Embriologia geral";"3";"45"
"1";"Microbiologia";"3";"45"
"1";"Parasitologia e Micologia";"2";"30"
"1";"Primeiros Socorros";"2";"30"
"2";"Anatomia de Orgãos e Sistemas";"4";"60"
"2";"Biologia Celular e Genética";"3";"45"
"2";"Fisiologia Humana";"6";"90"
"2";"Fundamentos de Enfermagem e Segurança do Paciente II";"8";"120"
"2";"Redação Científica";"2";"30"
"2";"Trabalho Integrado em Saúde";"2";"30"
"3";"ENFERMAGEM NA ATENÇÃO PRIMÁRIA À SAÚDE";"10";"150"
"3";"Educação em Saúde";"2";"30"
"3";"Epidemiologia, Vigilância em Saúde e Doenças Transmissíveis";"4";"60"
"3";"Fundamentos de Enfermagem e Segurança do Paciente III";"4";"60"
"3";"Imunologia";"3";"45"
"4";"Enfermagem e Exames Complementares";"2";"30"
"4";"Enfermagem na Saúde do Adulto e Idoso I";"8";"120"
"4";"Farmacologia Básica";"2";"30"
"4";"Filosofia e Bioética";"4";"60"
"4";"Nutrição Básica e Saúde";"2";"30"
"4";"Patologia Básica";"2";"30"
"4";"Psicologia e Saúde";"2";"30"
"5";"Disciplinas Eletivas";"12";"180"
"5";"Enfermagem na Saúde Mental";"4";"60"
"5";"Enfermagem na Saúde do Adulto e Idoso II";"14";"210"
"5";"Farmacologia Clínica";"2";"30"
"6";"Enfermagem Materno - Infantil";"12";"180"
"6";"Enfermagem em Situações de Alta Complexidade";"10";"150"
"7";"Enfermagem na Saúde da Criança e do Adolescente";"12";"180"
"7";"Gestão em Saúde";"4";"60"
"7";"Pesquisa em Saúde";"4";"60"
"8";"Exame de Proficiência em Língua Inglesa";"1";"15"
"8";"Gerenciamento em Enfermagem";"15";"225"
"8";"Humanismo e Cultura Religiosa";"4";"60"
"8";"Inovação e Desenvolvimento em Saúde";"2";"30"
"8";"Trabalho de Conclusão I";"2";"30"
"9";"Estágio Supervisionado I (510 Horas)";"34";"510"
"9";"Trabalho de Conclusão II";"2";"30"
"10";"Atividades Complementares (105 Hrs)";"7";"105"
"10";"Estágio Supervisionado II (510 Horas)";"34";"510"
