"nivel";"nome";"creditos";"carga_horaria"
"1";"Cálculo Diferencial e Integral I";"4";"60"
"1";"Desenho A";"2";"30"
"1";"Ferramentas Computacionais";"2";"30"
"1";"Geologia Aplicada";"4";"60"
"1";"Introdução à Engenharia Civil";"2";"30"
"1";"Química Geral";"4";"60"
"1";"Topografia A";"4";"60"
"2";"Ciências dos Materiais - Ecivil";"4";"60"
"2";"Cálculo Diferencial e Integral II";"4";"60"
"2";"Desenho Técnico I";"2";"30"
"2";"Engenharia Ambiental - Ecivil";"2";"30"
"2";"Mecânica Fundamental";"4";"60"
"2";"Programação para Engenharia I - A";"4";"60"
"2";"Topografia B";"4";"60"
"3";"Cálculo Diferencial e Integral III";"2";"30"
"3";"Desenho Técnico II";"2";"30"
"3";"Eletromagnetismo";"4";"60"
"3";"Isostática";"4";"60"
"3";"Materiais de Construção I";"4";"60"
"3";"Termologia e Fluidos";"4";"60"
"3";"Urbanismo";"4";"60"
"3";"Álgebra Matricial";"2";"30"
"4";"Cálculo Numérico A";"4";"60"
"4";"Desenho Técnico III - C";"4";"60"
"4";"Estradas I";"4";"60"
"4";"Introdução À Instalações Elétricas";"2";"30"
"4";"Materiais de Construção II";"4";"60"
"4";"Mecânica dos Fluidos";"4";"60"
"4";"Resistência dos Materiais I";"4";"60"
"5";"Estradas II";"4";"60"
"5";"Hidráulica Geral";"4";"60"
"5";"Instalações Elétricas Prediais";"4";"60"
"5";"Laboratório de Mecânica dos Solos";"2";"30"
"5";"Mecânica dos Solos I";"4";"60"
"5";"Probabilidade e Estatística";"4";"60"
"5";"Resistência dos Materiais II";"4";"60"
"6";"Concreto Armado I";"4";"60"
"6";"Hiperestática I";"4";"60"
"6";"Instalações Hidráulicas Prediais";"4";"60"
"6";"Mecânica dos Solos II";"4";"60"
"6";"Ondas e Física Moderna";"4";"60"
"6";"Trabalho de Integração - Ecivil";"2";"30"
"6";"Ética e Cidadania";"4";"60"
"7";"Concreto Armado II";"4";"60"
"7";"Conforto em Edificações";"2";"30"
"7";"Engenharia e Segurança do Trabalho";"2";"30"
"7";"Estruturas Metálicas I";"4";"60"
"7";"Fundações";"4";"60"
"7";"Hidrologia Aplicada";"4";"60"
"7";"Laboratório de Edificações";"2";"30"
"7";"Técnicas em Edificações I";"4";"60"
"8";"Arquitetura I";"2";"30"
"8";"Concreto Armado III";"4";"60"
"8";"Disciplinas Eletivas";"8";"120"
"8";"Estruturas Metálicas II";"4";"60"
"8";"Fundamentos de Economia para Engenharia";"2";"30"
"8";"Humanismo e Cultura Religiosa";"4";"60"
"8";"Sistemas de Tratamento de Água";"4";"60"
"8";"Técnicas em Edificações II";"4";"60"
"9";"Arquitetura II";"4";"60"
"9";"Engenharia Econômica I";"2";"30"
"9";"Estagio Supervisionado - Ecivil (190 Hrs)";"13";"190"
"9";"Geoprocessamento e Impacto Ambiental";"2";"30"
"9";"Orçamentos na Construção Civil";"2";"30"
"9";"Pavimentos Rodoviários";"4";"60"
"9";"Sistemas de Tratamento de Esgotos";"4";"60"
"10";"Atividades Complementares (120 Horas)";"8";"120"
"10";"Gerenciamento de Empreendimentos e Obras";"4";"60"
"10";"Gestão Empresarial para Engenharia";"2";"30"
"10";"Redes Hidráulicas";"4";"60"
"10";"Trabalho de Conclusão de Curso - Ecivil";"2";"30"
"10";"Transportes";"4";"60"
"10";"Tópicos Especiais - Ecivil I";"2";"30"
"10";"Tópicos Especiais - Ecivil II";"2";"30"
"10";"Ética e Exercicio Profissional da Engenharia";"2";"30"
