"nivel";"nome";"creditos";"carga_horaria"
"1";"Algoritmos e Estruturas de Dados I";"4";"60"
"1";"Cálculo Diferencial e Integral I";"4";"60"
"1";"Desenho Técnico";"4";"60"
"1";"Introdução à Engenharia de Computação";"2";"30"
"1";"Laboratório de Programação I - Ec";"4";"60"
"1";"Matemática Discreta (CC)";"4";"60"
"2";"Algoritmos e Estrutura de Dados II";"4";"60"
"2";"Circuitos Digitais";"4";"60"
"2";"Cálculo Diferencial e Integral II";"4";"60"
"2";"Laboratório de Programação II - Ec";"4";"60"
"2";"Lógica para Computação";"4";"60"
"2";"Mecânica Fundamental";"4";"60"
"3";"Cálculo Diferencial e Integral III";"2";"30"
"3";"Eletromagnetismo";"4";"60"
"3";"Laboratório de Organização de Computadores";"2";"30"
"3";"Organização de Computadores";"4";"60"
"3";"Química Geral";"4";"60"
"3";"Teoria da Computabilidade";"4";"60"
"3";"Álgebra Matricial";"2";"30"
"4";"Arquitetura de Computadores I";"4";"60"
"4";"Cálculo Diferencial e Integral IV";"4";"60"
"4";"Engenharia de Software - Ec";"4";"60"
"4";"Equac. Diferenc. e Transformadas Integrais";"4";"60"
"4";"Probabilidade e Estatística";"4";"60"
"4";"Termologia e Fluidos";"4";"60"
"5";"Análise de Circuitos I";"4";"60"
"5";"Arquitetura de Computadores II";"4";"60"
"5";"Métodos Computacionais - Ec";"4";"60"
"5";"Ondas e Física Moderna";"4";"60"
"5";"Sinais e Sistemas";"4";"60"
"5";"Sistemas Operacionais";"4";"60"
"6";"Análise de Circuitos II";"4";"60"
"6";"Análise de Sistemas de Controle";"4";"60"
"6";"Atividades Complementares (120 Horas)";"8";"120"
"6";"Eletrônica Analógica - Ec";"4";"60"
"6";"Laboratório de Processadores I";"2";"30"
"6";"Processadores I";"4";"60"
"6";"Programação de Periféricos";"4";"60"
"6";"Sistemas de Tempo Real";"4";"60"
"7";"Inteligência Artificial Aplicada - Ec";"4";"60"
"7";"Microeletrônica";"4";"60"
"7";"Processamento Digital de Sinais";"4";"60"
"7";"Programação Paralela e Distribuida";"4";"60"
"7";"Projeto de Sistemas de Controle";"4";"60"
"7";"Redes de Comunicação I";"4";"60"
"8";"Aplicações de Processamento Digital de Sinais";"4";"60"
"8";"Automação";"4";"60"
"8";"Laboratório de Redes";"2";"30"
"8";"Projeto de Sistemas Integrados I";"4";"60"
"8";"Redes de Comunicação II";"4";"60"
"8";"Teste e Confiabilidade de Sistemas";"4";"60"
"9";"Disciplinas Eletivas";"8";"120"
"9";"Estágio Supervisionado - Ec (190 Hrs)";"13";"190"
"9";"Fundamentos de Economia para Engenharia";"2";"30"
"9";"Humanismo e Cultura Religiosa";"4";"60"
"9";"Projetos de Sistemas Integrados II";"4";"60"
"9";"Redes de Comunicação sem Fio";"4";"60"
"10";"Engenharia Econômica I";"2";"30"
"10";"Gerência de Redes de Computadores";"2";"30"
"10";"Gestão Empresarial para Engenharia";"2";"30"
"10";"Trabalho de Conclusão de Curso - Ec";"2";"30"
"10";"Ética e Cidadania";"4";"60"
"10";"Ética e Exercicio Profissional da Engenharia";"2";"30"
