"nivel";"nome";"creditos";"carga_horaria"
"1";"Cálculo Diferencial e Integral I";"4";"60"
"1";"Desenho A";"2";"30"
"1";"Estatistica Descritiva";"2";"30"
"1";"Ferramentas Computacionais";"2";"30"
"1";"Fundamentos de Economia para Engenharia";"2";"30"
"1";"Gestão Empresarial para Engenharia";"2";"30"
"1";"Introducao A Engenharia da Producao";"2";"30"
"1";"Química Geral";"4";"60"
"2";"Ciência dos Materiais";"4";"60"
"2";"Cálculo Diferencial e Integral II";"4";"60"
"2";"Desenho Técnico I";"2";"30"
"2";"Economia para Engenharia";"2";"30"
"2";"Mecânica Fundamental";"4";"60"
"2";"Organizacao Empresarial para Engenharia";"2";"30"
"2";"Planejamento Empresarial para Engenharia";"4";"60"
"2";"Programação para Engenharia I - A";"4";"60"
"3";"Cálculo Diferencial e Integral III";"2";"30"
"3";"Desenho Técnico II";"2";"30"
"3";"Eletromagnetismo";"4";"60"
"3";"Engenharia Econômica I";"2";"30"
"3";"Gestao de Materiais";"4";"60"
"3";"Mecânica dos Sólidos";"4";"60"
"3";"Processos de Fabricacao Intermitente I";"4";"60"
"3";"Álgebra Matricial";"2";"30"
"4";"Cálculo Numérico A";"4";"60"
"4";"Engenharia Economica II";"2";"30"
"4";"Gestao de Energia Eletrica";"2";"30"
"4";"Mecânica dos Fluidos";"4";"60"
"4";"Probabilidade";"4";"60"
"4";"Processos de Fabricacao Intermitente II";"2";"30"
"4";"Sistemas da Qualidade I";"2";"30"
"4";"Termologia e Fluidos";"4";"60"
"5";"Desenho Tecnico III - P";"4";"60"
"5";"Engenharia e Segurança do Trabalho";"2";"30"
"5";"Estatistica Inferencial";"4";"60"
"5";"Ondas e Física Moderna";"4";"60"
"5";"Pesquisa Operacional I";"4";"60"
"5";"Planejamento do Produto";"4";"60"
"5";"Processos de Fabricacao Continua";"4";"60"
"6";"Diagnost. e Solucao de Probl. na Producao";"2";"30"
"6";"Ergonomia";"4";"60"
"6";"Estatística Avançada";"4";"60"
"6";"Gestao Ambiental I";"2";"30"
"6";"Gestão do Conhecimento Empresarial";"2";"30"
"6";"Planejamento e Controle da Producao";"4";"60"
"6";"Ética e Exercicio Profissional da Engenharia";"2";"30"
"7";"Custos da Producao I";"4";"60"
"7";"Disciplinas Eletivas";"8";"120"
"7";"Pesquisa Operacional II";"4";"60"
"7";"Pratica em Engenharia de Producao I";"2";"30"
"7";"Projeto de Experimentos";"4";"60"
"7";"Qualidade Dimensional";"2";"30"
"7";"Sistemas Integrados de Fabricacao";"2";"30"
"8";"Controle Estatistico da Qualidade";"4";"60"
"8";"Engenharia do Produto";"4";"60"
"8";"Estagio Supervisionado - Ep (190 Hrs)";"13";"190"
"8";"Humanismo e Cultura Religiosa";"4";"60"
"8";"Logística dos Processos Produtivos";"4";"60"
"8";"Producao Enxuta";"4";"60"
"8";"Sistemas da Qualidade II";"2";"30"
"9";"Atividades Complementares (120 Horas)";"8";"120"
"9";"Custos da Producao II";"4";"60"
"9";"Gestao de Servicos Agregados";"2";"30"
"9";"Modelagem e Simul. de Sistemas de Prod.";"4";"60"
"9";"Pratica em Engenharia de Producao II";"2";"30"
"9";"Sistemas de Informacao e Apoio A Decisao";"4";"60"
"9";"Ética e Cidadania";"4";"60"
"10";"Avaliacao do Desempenho da Producao";"4";"60"
"10";"Empreendedorismo para Engenheiros";"2";"30"
"10";"Engenharia da Manutencao";"4";"60"
"10";"Etica Empresarial para Engenharia";"2";"30"
"10";"Gestao Ambiental II";"2";"30"
"10";"Gestao do Desenvolvimento de Produtos";"4";"60"
"10";"Gestão de Projetos";"2";"30"
"10";"Trabalho de Conclusao de Curso - Ep";"2";"30"
