"nivel";"nome";"creditos";"carga_horaria"
"1";"Cálculo A";"4";"60"
"1";"Empreendimentos Empresariais";"4";"60"
"1";"Estruturas Algébricas";"4";"60"
"1";"Fundamentos de Programação";"6";"90"
"1";"Introdução à Engenharia de Software";"4";"60"
"2";"Algoritmos e Estruturas de Dados I";"4";"60"
"2";"Engenharia de Requisitos";"4";"60"
"2";"Laboratório de Banco de Dados";"2";"30"
"2";"Linguagens, Autômatos e Computação";"4";"60"
"2";"Lógica para Computação";"4";"60"
"2";"Programação Orientada a Objetos";"4";"60"
"2";"Prática na Agência Experimental I (120 horas)";"8";"120"
"3";"Algoritmos e Estruturas de Dados II";"4";"60"
"3";"Fundamentos de IHC";"4";"60"
"3";"Gerenciamento de Configuração de Software";"2";"30"
"3";"Modelagem e Projeto de Banco de Dados";"4";"60"
"3";"Métodos Estatísticos";"4";"60"
"3";"Organização e Arquitetura de Computadores";"4";"60"
"3";"Programação de Software Básico";"2";"30"
"4";"Algoritmos Avançados";"4";"60"
"4";"Design de Interação";"2";"30"
"4";"Linguagens de Programação";"4";"60"
"4";"Prática na Agência Experimental II (120 horas)";"8";"120"
"4";"Sistemas Operacionais";"4";"60"
"4";"Sistemas de Gerenciamento de Banco de Dados";"2";"30"
"4";"Verificação e Validação de Software I";"4";"60"
"5";"Gestão do Conhecimento Empresarial";"2";"30"
"5";"Inteligência Artificial";"4";"60"
"5";"Laboratório de Redes";"2";"30"
"5";"Projeto e Arquitetura de Software";"6";"90"
"5";"Psicologia e Gestão de Pessoas em TI";"2";"30"
"5";"Redes de Computadores";"4";"60"
"5";"Verificação e Validação de Software II";"2";"30"
"6";"Construção de Software";"4";"60"
"6";"Engenharia de Software Experimental";"2";"30"
"6";"Gerenciamento de Projeto de Software";"4";"60"
"6";"Gestão Empresarial para Engenharia";"2";"30"
"6";"Manutenção de Software";"2";"30"
"6";"Programação Distribuída";"4";"60"
"6";"Prática na Agência Experimental III (120 Horas)";"8";"120"
"7";"Disciplina Eletiva";"8";"120"
"7";"Fundamentos de Economia para Engenharia";"2";"30"
"7";"Humanismo e Cultura Religiosa";"4";"60"
"7";"Melhoria de Processos de Software";"2";"30"
"7";"Métodos Formais (ES)";"4";"60"
"7";"Programação Paralela";"2";"30"
"7";"Prática na Agência Experimental IV (120 horas)";"8";"120"
"7";"Ética e Filosofia da Ciência";"4";"60"
"8";"Atividades Complementares (110 horas)";"7";"110"
"8";"Engenharia Econômica";"4";"60"
"8";"Engenharia do Produto";"4";"60"
"8";"Legislação em Informática";"2";"30"
"8";"Métodos e Modelos em Engenharia de Software";"4";"60"
"8";"Segurança de Sistemas";"2";"30"
"8";"Simulação e Métodos Analíticos";"4";"60"
