"nivel";"nome";"creditos";"carga_horaria"
"1";"Cálculo Diferencial e Integral I";"4";"60"
"1";"Desenho Técnico I";"2";"30"
"1";"Ferramentas Computacionais";"2";"30"
"1";"Introdução À Engenharia Mecânica";"2";"30"
"1";"Qualidade Dimensional";"2";"30"
"1";"Química Geral";"4";"60"
"2";"Ciência dos Materiais";"4";"60"
"2";"Cálculo Diferencial e Integral II";"4";"60"
"2";"Desenho Técnico II";"2";"30"
"2";"Desenvolvimento de Projetos";"2";"30"
"2";"Disciplinas Eletivas";"8";"120"
"2";"Mecânica Fundamental";"4";"60"
"2";"Programação para Engenharia I";"4";"60"
"2";"Prática de Oficina";"4";"60"
"3";"Cálculo Diferencial e Integral III";"2";"30"
"3";"Desenho Técnico III - Em";"2";"30"
"3";"Eletromagnetismo";"4";"60"
"3";"Materiais Cerâmicos";"2";"30"
"3";"Materiais Metálicos";"4";"60"
"3";"Programação de Robos";"2";"30"
"3";"Termodinâmica Aplicada";"4";"60"
"3";"Álgebra Matricial";"2";"30"
"4";"Cálculo Diferencial e Integral IV";"4";"60"
"4";"Dinâmica do Corpo Rígido";"4";"60"
"4";"Eletrotécnica - Em";"2";"30"
"4";"Equac. Diferenc. e Transformadas Integrais";"4";"60"
"4";"Fundição";"2";"30"
"4";"Materiais Poliméricos";"2";"30"
"4";"Ondas e Física Moderna";"4";"60"
"4";"Probabilidade e Estatística";"4";"60"
"5";"Humanismo e Cultura Religiosa";"4";"60"
"5";"Mecanismos e Dinâmica de Máquinas";"4";"60"
"5";"Mecânica dos Fluidos";"4";"60"
"5";"Resistência dos Materiais I - Em";"4";"60"
"5";"Soldagem";"4";"60"
"5";"Usinagem";"4";"60"
"6";"Cálculo Numérico A";"4";"60"
"6";"Eletrônica Básica - Em";"2";"30"
"6";"Engenharia da Qualidade";"2";"30"
"6";"Escoamentos Viscosos";"2";"30"
"6";"Gestão Empresarial para Engenharia";"2";"30"
"6";"Resistência dos Materiais II - Em";"4";"60"
"6";"Transferência de Calor";"4";"60"
"6";"Vibrações Mecânicas";"4";"60"
"6";"Ética e Cidadania";"4";"60"
"7";"Conformação Mecânica";"4";"60"
"7";"Elementos de Máquinas";"4";"60"
"7";"Fenômenos de Convecção";"2";"30"
"7";"Manutenção Industrial";"2";"30"
"7";"Projeto Mec. Assist. por Computador (Cad)";"2";"30"
"7";"Resistência dos Materiais III";"4";"60"
"7";"Sistemas Fluidomecânicos";"4";"60"
"7";"Sistemas Robotizados - Em";"2";"30"
"7";"Ética e Exercicio Profissional da Engenharia";"2";"30"
"8";"Engenharia Econômica I";"2";"30"
"8";"Engenharia de Controle";"2";"30"
"8";"Engenharia e Segurança do Trabalho";"2";"30"
"8";"Instrumentação e Medição";"4";"60"
"8";"Integração Mecânica Experimental";"2";"30"
"8";"Manufatura Assistida por Computador (Cam)";"2";"30"
"8";"Mecânica do Contínuo";"2";"30"
"8";"Máquinas Térmicas";"4";"60"
"8";"Sistemas de Compressao Industrial";"4";"60"
"8";"Trocadores de Calor";"4";"60"
"9";"Automação Industrial - Em";"2";"30"
"9";"Controle Hidráulico e Pneumático";"4";"60"
"9";"Engenharia Assist. por Computador (Cae)";"2";"30"
"9";"Estágio Supervisionado - em (190 Hrs)";"13";"190"
"9";"Geração e Utilização do Vapor";"4";"60"
"9";"Projeto Mecânico";"4";"60"
"9";"Refrigeração e Ar Condicionado";"4";"60"
"10";"Atividades Complementares (120 Horas)";"8";"120"
"10";"Controle de Qualidade Industrial";"2";"30"
"10";"Fundamentos de Economia para Engenharia";"2";"30"
"10";"Projeto de Produto";"4";"60"
"10";"Recursos Energéticos e Ambiente";"2";"30"
"10";"Trabalho de Conclusão de Curso - Em";"2";"30"
