"nivel";"nome";"creditos";"carga_horaria"
"1";"Cálculo Diferencial e Integral I";"4";"60"
"1";"Desenho Técnico";"4";"60"
"1";"Fisica Geral e Experimental A";"6";"90"
"1";"Introducao A Engenharia Quimica";"2";"30"
"1";"Química Geral";"4";"60"
"2";"Cálculo Diferencial e Integral II";"4";"60"
"2";"Cálculo Diferencial e Integral III";"2";"30"
"2";"Desenho Técnico II";"2";"30"
"2";"Engenharia de Processos";"4";"60"
"2";"Fisica Geral e Experimental B";"6";"90"
"2";"Fisico - Quimica I - Eq";"4";"60"
"2";"Laboratório de Química Geral";"2";"30"
"2";"Álgebra Matricial";"2";"30"
"3";"Cálculo Diferencial e Integral IV";"4";"60"
"3";"Equac. Diferenc. e Transformadas Integrais";"4";"60"
"3";"Fisica Geral e Experimental C";"6";"90"
"3";"Quimica Inorganica Experimental";"6";"90"
"3";"Termodinamica I";"6";"90"
"4";"Comunicacao Tecnica";"4";"60"
"4";"Cálculo Numérico A";"4";"60"
"4";"Fenomenos de Transporte I";"6";"90"
"4";"Fisico - Quimica II - Eq";"6";"90"
"4";"Química Orgânica I";"6";"90"
"5";"Fenomenos de Transporte II";"6";"90"
"5";"Materiais da Industria Quimica";"4";"60"
"5";"Mecanica dos Solidos";"2";"30"
"5";"Metodos Numericos para Eng Quimica";"4";"60"
"5";"Química Orgânica II";"6";"90"
"5";"Termodinamica II";"4";"60"
"6";"Engenharia das Reacoes Quimicas I";"4";"60"
"6";"Equipamentos de Utilidades Industriais I";"4";"60"
"6";"Fenomenos de Transporte III";"4";"60"
"6";"Operacoes Unitarias I";"6";"90"
"6";"Planejamento e Projeto de Experimentos";"6";"90"
"7";"Analise Quimica - Eq";"6";"90"
"7";"Disciplinas Eletivas";"8";"120"
"7";"Engenharia das Reacoes Quimicas II";"4";"60"
"7";"Equipament. e Utilidades Industriais II";"4";"60"
"7";"Operacoes Unitarias II";"6";"90"
"7";"Trabalho de Integracao - Eq";"2";"30"
"8";"Analise Instrumental - Eq";"4";"60"
"8";"Analise de Investimentos - Eq";"4";"60"
"8";"Dinamica de Processos";"4";"60"
"8";"Engenharia Bioquimica e de Alimentos";"6";"90"
"8";"Estagio Supervisionado - Eq (190 Hrs)";"13";"190"
"8";"Operacoes Unitarias III";"6";"90"
"9";"Avaliacao Economica de Projetos";"4";"60"
"9";"Controle e Instrumentacao";"6";"90"
"9";"Humanismo e Cultura Religiosa";"4";"60"
"9";"Processos Industriais";"4";"60"
"9";"Reatores Quimicos e Bioquimicos";"6";"90"
"10";"Atividades Complementares (120 Horas)";"8";"120"
"10";"Gestao de Qualidade - Eq";"4";"60"
"10";"Gestao e Licenciamento Ambiental";"4";"60"
"10";"Trab. de Conc. de Curso II - Eq (Proj. Proc.)";"4";"60"
"10";"Trabalho de Conclusao de Curso I - Eq";"2";"30"
"10";"Ética e Cidadania";"4";"60"
