"nivel";"nome";"creditos";"carga_horaria"
"1";"Anatomia Humana";"4";"60"
"1";"Farmacobotânica";"2";"30"
"1";"Introdução À Profissão Farmacêutica";"2";"30"
"1";"Laboratório de Química Geral";"2";"30"
"1";"Matemática Aplicada à Farmácia";"2";"30"
"1";"Princípios de Física Aplic. à Farmácia";"2";"30"
"1";"Química Geral";"4";"60"
"1";"Química Orgânica I";"4";"60"
"2";"Bioestatística A";"2";"30"
"2";"Biofísica";"2";"30"
"2";"Biologia Celular e Genética";"4";"60"
"2";"Bioquímica Estrutural";"4";"60"
"2";"Disciplinas Eletivas";"12";"180"
"2";"Exame de Proficiência em Língua Inglesa";"1";"15"
"2";"Farmacognosia";"4";"60"
"2";"Físico-Química Farmacêutica";"2";"30"
"2";"Histologia e Embriologia Geral";"3";"45"
"2";"Química Orgânica II";"4";"60"
"3";"Bioquímica Metabólica";"4";"60"
"3";"Farmacotécnica e Tecnologia de Sólidos";"4";"60"
"3";"Fisiologia Humana";"6";"90"
"3";"Microbiologia Básica e de Alimentos";"4";"60"
"3";"Parasitologia";"2";"30"
"3";"Química Analítica";"6";"90"
"4";"Assistência Farmacêutica";"2";"30"
"4";"Ciências Farmacológicas e Toxicol. I";"4";"60"
"4";"Diagnostico Molecular";"4";"60"
"4";"Farmacotécnica e Tecnologia de Líquidos";"4";"60"
"4";"Imunologia";"3";"45"
"4";"Microbiologia Clínica";"4";"60"
"4";"Parasitologia Clínica";"2";"30"
"4";"Patologia";"2";"30"
"4";"Trabalho Integrado em Saúde";"2";"30"
"5";"Análise Biofarmacêutica";"4";"60"
"5";"Bioquímica Clínica I";"4";"60"
"5";"Ciências Farmacol. e Toxicológicas II";"4";"60"
"5";"Desenvolvimento de Fármacos";"2";"30"
"5";"Est. Análises Clin. e Toxicológicas (60h)";"6";"90"
"5";"Farm. e Tec. de Sist. Disp e de Lib. Mod.";"3";"45"
"5";"Imunologia Clínica";"6";"90"
"5";"Química Farmacêutica I";"4";"60"
"6";"Bioquímica Clínica II";"4";"60"
"6";"Ciência dos Alimentos";"4";"60"
"6";"Ciências Farmacológicas e Toxic. III";"4";"60"
"6";"Est. Farm. Comunit. e Gest. Farmac. (90h)";"6";"90"
"6";"Farmácia Hospitalar";"4";"60"
"6";"Gest. e Garantia da Qualidade Farmac.";"2";"30"
"6";"Hematologia Clínica";"4";"60"
"6";"Química Farmacêutica II";"4";"60"
"7";"Atenção Farmacêutica e Farmácia Clínica";"6";"90"
"7";"Biofármacos e Processos Biotecnológicos";"2";"30"
"7";"Controle de Qualidade Físico-Químico";"4";"60"
"7";"Cosmetologia";"3";"45"
"7";"Est. em Farm. Hosp. e Alimentos (105h)";"7";"105"
"7";"Farmacotécnica Homeopática";"4";"60"
"7";"Hematologia e Citologia Clínica";"4";"60"
"8";"Análises Toxicológicas";"2";"30"
"8";"Atividades Complementares (105h)";"7";"105"
"8";"Controle da Qualidade Biológico";"4";"60"
"8";"Deontologia e Legislação Farmacêutica";"2";"30"
"8";"Est. em Farm. de Man. e Ind. Med. (105h)";"7";"105"
"8";"Filosofia e Bioética";"4";"60"
"8";"Humanismo e Cultura Religiosa";"4";"60"
"8";"Terapia Nutric. e Misturas Intravenosas";"2";"30"
"9";"Estágio Final e Tcc (415h)";"28";"415"
