"nivel";"nome";"creditos";"carga_horaria"
"1";"Antropologia Filosófica I";"4";"60"
"1";"História da Filosofia Antiga";"4";"60"
"1";"Introdução à Filosofia";"4";"60"
"1";"Lógica I";"4";"60"
"1";"Metodologia Filosófica";"4";"60"
"2";"Antropologia Filosófica II";"4";"60"
"2";"História da Filosofia Medieval";"4";"60"
"2";"Lógica II";"4";"60"
"2";"Metafísica I";"4";"60"
"2";"Teoria do Conhecimento I";"4";"60"
"3";"História da Filosofia Moderna I";"4";"60"
"3";"Metafísica II";"4";"60"
"3";"Sem. de Obras Filosof. (Antiga/ Mediev.)";"4";"60"
"3";"Teoria do Conhecimento II";"4";"60"
"4";"Disciplinas Eletivas";"12";"180"
"4";"Filosofia da Ciência";"4";"60"
"4";"História da Filosofia Moderna II";"4";"60"
"4";"Seminário Temático de Epistemologia";"4";"60"
"4";"Ética Geral";"4";"60"
"5";"Filosofia da Religião";"4";"60"
"5";"História da Filosofia Contemporânea I";"4";"60"
"5";"Seminário de Obras Filosóficas (Moderna)";"4";"60"
"5";"Ética Aplicada";"4";"60"
"6";"Estética";"4";"60"
"6";"Filosofia Social e Política";"4";"60"
"6";"História da Filosofia Contempor. II";"4";"60"
"6";"Seminário Temático de Metafísica";"4";"60"
"7";"Ciência e Sociedade";"4";"60"
"7";"Humanismo e Cultura Religiosa";"4";"60"
"7";"Monografia (Projeto)";"4";"60"
"7";"Seminário de Obras Filos. (Contemporânea)";"4";"60"
"7";"Ética Ambiental";"4";"60"
"8";"Atividades Complementares (120 Hrs)";"8";"120"
"8";"Filosofia da Linguagem";"4";"60"
"8";"Hermenêutica";"4";"60"
"8";"Monografia (Redacao)";"4";"60"
"8";"Seminário Temático de Ética";"4";"60"
