"nivel";"nome";"creditos";"carga_horaria"
"1";"Filosofia e Ética Geral";"4";"60"
"1";"História da Antiguidade Clássica";"4";"60"
"1";"História da Antiguidade Oriental";"4";"60"
"1";"Introdução ao Estudo da História";"4";"60"
"1";"Pré-História";"4";"60"
"2";"Atividades Complementares (120 Horas)";"8";"120"
"2";"Atividades Complementares (200 Horas)";"13";"200"
"2";"Disciplinas Eletivas";"12";"180"
"2";"História Medieval";"4";"60"
"2";"Língua Brasileira de Sinais";"4";"60"
"2";"Organização e Políticas da Educ. Básica";"4";"60"
"2";"Prat. de Pesq. Histórica (Fonte Material)";"4";"60"
"2";"Psic. da Educação: Desenvolvimento";"2";"30"
"3";"Arqueologia e História";"4";"60"
"3";"História da América Pré-Colonial";"4";"60"
"3";"Prat. de Pesq. Hist. (Fonte Visual/ Oral)";"4";"60"
"3";"Psic. da Educação: Aprendizagem";"4";"60"
"3";"Seminario de Historia Medieval";"4";"60"
"3";"Sociologia Geral";"4";"60"
"4";"História Ibero-Americana";"4";"60"
"4";"História Moderna";"4";"60"
"4";"História do Brasil Colonial";"4";"60"
"4";"Humanismo e Cultura Religiosa";"4";"60"
"4";"Prat. de Pesq. Histórica (Fonte Escrita)";"4";"60"
"5";"Historia da Africa";"4";"60"
"5";"História da América Contemporânea";"4";"60"
"5";"História da Arte";"4";"60"
"5";"História do Brasil Monárquico";"4";"60"
"5";"Seminario de Historia Moderna";"4";"60"
"5";"Tutor. em Prat. de Ens. Fund. / Medio (140h)";"9";"140"
"6";"Estágio de Pesq. Fontes Escritas (90h)";"6";"90"
"6";"Hist. Contemporânea (Era das Revoluções)";"4";"60"
"6";"História Cultural do Brasil";"4";"60"
"6";"História do Brasil Republicano";"4";"60"
"6";"Teoria e Metodologia da História";"4";"60"
"6";"Tutor. em Prat. de Ens. de Jov. e Adul. (80h)";"5";"80"
"7";"Didática";"4";"60"
"7";"Estag. de Pesq. Font. Visuais/ Orais (180 H)";"12";"180"
"7";"História Contemporânea (Século xx)";"4";"60"
"7";"História do Rio Grande do Sul";"4";"60"
"7";"Monografia (Projeto)";"2";"30"
"7";"Seminário de História do Brasil";"4";"60"
"7";"Teoria e Historiografia";"4";"60"
"8";"Estag. Superv: Historia (Fund/ Medio 190h)";"13";"190"
"8";"Historia da Asia";"4";"60"
"8";"História e Acervos";"4";"60"
"8";"Monografia (Redação)";"2";"30"
"8";"Seminário de Hist. do Rio Grande do Sul";"4";"60"
"8";"Seminário de História Contemporânea";"4";"60"
