"nivel";"nome";"creditos";"carga_horaria"
"1";"Aproximação À Prática Médica";"4";"60"
"1";"Fund. de Genética, Biolog. Molec. e Celular";"4";"60"
"1";"Fundamentos Anatômicos I";"10";"150"
"1";"Fundamentos Bioquímicos e Biofísicos I";"8";"120"
"1";"Fundamentos Morfológicos I";"6";"90"
"1";"Fundamentos da Relação Parasita - Hospedeiro I";"4";"60"
"2";"Atividades Complementares (120 Horas)";"8";"120"
"2";"Disciplina Eletiva";"12";"180"
"2";"Exame de Proficiência em Língua Inglesa";"1";"15"
"2";"Fundamentos Anatômicos II";"10";"150"
"2";"Fundamentos Bioquímicos e Biofísicos II";"8";"120"
"2";"Fundamentos Fisiológicos I";"8";"120"
"2";"Fundamentos Morfológicos II";"6";"90"
"2";"Fundamentos da Relação Parasita - Hospedeiro II";"4";"60"
"3";"Bases da Terapêutica I";"6";"90"
"3";"Filosofia e Bioética";"4";"60"
"3";"Fundamentos Fisiológicos II";"8";"120"
"3";"Fundamentos em Pesquisa";"2";"30"
"3";"Imunologia Básica";"2";"30"
"3";"Patologia Básica";"8";"120"
"3";"Trabalho Integrado em Saúde";"2";"30"
"4";"Bases da Terapêutica II";"6";"90"
"4";"Imunologia Clínica";"2";"30"
"4";"Mente e Cérebro I";"4";"60"
"4";"Patologia Aplicada";"6";"90"
"4";"Propedêutica Médica I";"16";"240"
"4";"Saúde Coletiva I";"3";"45"
"5";"Epidemiologia";"2";"30"
"5";"Mente e Cérebro II";"4";"60"
"5";"Neuropsicobiologia do Desenvolvimento e Suas Patologias";"2";"30"
"5";"Propedêutica Médica II";"19";"285"
"5";"Saúde Coletiva II";"5";"75"
"5";"Seminários em Morfologia Aplicada I";"2";"30"
"6";"Fundamentos em Ginecologia e Obstetrícia";"4";"60"
"6";"Fundamentos em Imagem";"2";"30"
"6";"Fundamentos em Pediatria";"4";"60"
"6";"Laboratório de Habilidades I";"2";"30"
"6";"Pesquisa Translacional";"3";"45"
"6";"Prática em Saúde do Adulto e do Idoso";"14";"210"
"6";"Seminários em Morfologia Aplicada II";"2";"30"
"6";"Trauma e Emergência";"4";"60"
"6";"Técnica Operatória";"6";"90"
"7";"Clínica Cirúrgica";"18";"270"
"7";"Clínica Médica";"18";"270"
"7";"Humanismo e Cultura Religiosa";"4";"60"
"7";"Laboratório de Habilidades II";"2";"30"
"7";"Saúde da Criança e do Adolescente";"16";"240"
"7";"Saúde da Mulher";"16";"240"
"7";"Seminários Integradores I";"2";"30"
"8";"Medicina Legal e Deontologia Médica";"2";"30"
"8";"Raciocínio Clínico - Epidemiológico";"2";"30"
"8";"Seminários Integradores II";"2";"30"
"9";"Internato I (615 Horas)";"41";"615"
"10";"Internato II (615 Horas)";"41";"615"
"10";"Internato III (615 Horas)";"41";"615"
"11";"Internato IV (615 Horas)";"41";"615"
"12";"Internato V (615 Horas)";"41";"615"
"12";"Internato VI (525 Horas)";"35";"525"
