"nivel";"nome";"creditos";"carga_horaria"
"1";"Anatomia Geral Complementar";"2";"30"
"1";"Anatomia Odontológica I";"4";"60"
"1";"Bioquímica Aplicada à Odontologia I";"3";"45"
"1";"Filosofia e Bioética";"4";"60"
"1";"Genética Aplicada à Odontologia";"3";"45"
"1";"Histologia e Embriologia Geral";"4";"60"
"1";"Materiais Dentários I";"5";"75"
"1";"Microbiologia Geral";"2";"30"
"1";"Trabalho Integrado em Saúde";"2";"30"
"2";"Anatomia Odontológica II";"4";"60"
"2";"Atividades Complementares (120 Horas)";"8";"120"
"2";"Bioquímica Aplicada à Odontologia II";"3";"45"
"2";"Disciplinas Eletivas";"12";"180"
"2";"Exame de Proficiência em Língua Inglesa";"1";"15"
"2";"Fisiologia I";"4";"60"
"2";"Histologia e Embriologia Odontológica";"4";"60"
"2";"Imunologia Geral";"2";"30"
"2";"Materiais Dentários II";"5";"75"
"2";"Microbiologia Bucal";"4";"60"
"2";"Patologia Geral";"4";"60"
"3";"Dentística de Laboratório I";"5";"75"
"3";"Deontologia";"2";"30"
"3";"Fisiologia II";"4";"60"
"3";"Metodologia Aplicada à Odontologia";"2";"30"
"3";"Patologia Bucodental";"4";"60"
"3";"Prótese Dentária I";"5";"75"
"3";"Radiologia Odontológica I";"5";"75"
"4";"Anestesiologia Odontológica";"4";"60"
"4";"Dentística de Laboratório II";"5";"75"
"4";"Farmacologia e Terapêutica";"6";"90"
"4";"Odontologia em Saúde Coletiva";"2";"30"
"4";"Prótese Dentária II";"5";"75"
"4";"Psicologia Aplicada à Odontologia";"2";"30"
"4";"Radiologia Odontológica II";"5";"75"
"5";"Cirurgia Odontológica I";"4";"60"
"5";"Dentística Restauradora I";"5";"75"
"5";"Endodontia de Laboratório";"4";"60"
"5";"Oclusão I";"4";"60"
"5";"Ortodontia I";"5";"75"
"5";"Periodontia I";"5";"75"
"5";"Prótese Dentária III";"8";"120"
"6";"Cirurgia Odontológica II";"4";"60"
"6";"Dentística Restauradora II";"5";"75"
"6";"Endodontia I";"4";"60"
"6";"Estágio em Odontologia em Saúde Colet. I";"4";"60"
"6";"Oclusão II";"4";"60"
"6";"Periodontia II";"5";"75"
"6";"Prótese Dentária IV";"8";"120"
"7";"Cirurgia Odontológica III";"5";"75"
"7";"Dentística Restauradora III";"5";"75"
"7";"Endodontia II";"4";"60"
"7";"Estágio em Odontologia Integral I";"6";"90"
"7";"Estágio em Odontologia em Saúde Colet. II";"4";"60"
"7";"Odontopediatria I";"5";"75"
"7";"Ortodontia II";"5";"75"
"7";"Radiologia Odontológica III";"4";"60"
"8";"Cirurgia Odontológica IV";"5";"75"
"8";"Dentística Restauradora IV";"5";"75"
"8";"Endodontia III";"3";"45"
"8";"Estágio em Odontologia Integral II";"6";"90"
"8";"Estágio em Odontologia em Saúd. Colet. III";"3";"45"
"8";"Humanismo e Cultura Religiosa";"4";"60"
"8";"Odontopediatria II";"5";"75"
"8";"Trabalho de Conclusão de Curso I";"2";"30"
"9";"ESTÁGIO EM CIRURGIA E TRAUMAT. BUCOMAX. I";"5";"75"
"9";"Estomatologia";"5";"75"
"9";"Estágio em Clínica Int. Inf. e Adolesc. I";"9";"135"
"9";"Estágio em Clínica Integrada I";"9";"135"
"9";"Prótese Dentária V";"5";"75"
"9";"Trabalho de Conclusão de Curso II";"2";"30"
"9";"Triagem e Urgência";"4";"60"
"10";"Estágio em Cirurgia e Traumat. Bucomax. II";"5";"75"
"10";"Estágio em Clínica Int. Infant. e Adol. II";"9";"135"
"10";"Estágio em Clínica Integrada II";"9";"135"
"10";"Prótese Dentária VI";"5";"75"
"10";"Ética Profissional";"2";"30"
