"nivel";"nome";"creditos";"carga_horaria"
"1";"Antropologia Social";"2";"30"
"1";"Análise Experimental do Comportamento";"2";"30"
"1";"Fund. Epistem. e História da Psicologia";"4";"60"
"1";"Fund. e Medidas em Avaliação Psicologica";"2";"30"
"1";"Produção do Conhecimento em Psicologia";"2";"30"
"1";"Psicofisiologia";"2";"30"
"1";"Psicologia Geral e Experimental I";"4";"60"
"1";"Psicologia do Desenvolvimento";"4";"60"
"1";"Ética e Legislação em Psicologia";"2";"30"
"2";"Disciplinas Eletivas";"12";"180"
"2";"Estatística Aplicada à Psicologia";"4";"60"
"2";"Genética Humana Aplicada à Psicologia";"4";"60"
"2";"Metapsicologia Psicanalítica";"4";"60"
"2";"Psicoendocrinologia";"2";"30"
"2";"Psicologia Geral e Experimental II";"2";"30"
"2";"Psicologia Social";"4";"60"
"2";"Teorias Humanistas Existenciais";"2";"30"
"2";"Teorias Sócio - Cognitivas";"4";"60"
"3";"Avaliação Psicol: Funções Cognitivas";"4";"60"
"3";"Prática em Psicologia I (60h)";"4";"60"
"3";"Psicologia da Família";"4";"60"
"3";"Psicologia dos Grupos I";"4";"60"
"3";"Psicologia, Cultura e Sociedade";"2";"30"
"3";"Psiconeurobiologia";"4";"60"
"3";"Psiquismo e Subjetividade em Psicanálise";"4";"60"
"3";"Teorias e Modelos Comport. e Cognitivos";"4";"60"
"4";"Avaliação Psic. no Contexto Profissional";"2";"30"
"4";"Contextos e Técnica Psicanalítica";"2";"30"
"4";"Fundamentos e Técnicas de Entrevista";"4";"60"
"4";"Prática em Psicologia II (60h)";"4";"60"
"4";"Psicofarmacologia";"2";"30"
"4";"Psicologia Comunitária";"2";"30"
"4";"Psicologia dos Grupos II";"4";"60"
"4";"Psicopatologia Descritiva I";"4";"60"
"4";"Trabalho Integrado em Saúde";"2";"30"
"4";"Técnicas e Instrumentos de Aval. da Personalidade";"4";"60"
"5";"Pesquisa em Psicologia";"2";"30"
"5";"Prática em Psicopatologia (80h)";"5";"80"
"5";"Psicologia e Saúde Coletiva";"2";"30"
"5";"Psicopatologia Descritiva II";"4";"60"
"5";"Psicopatologia Psicanalítica";"4";"60"
"5";"Psicopedagogia";"4";"60"
"5";"Psicoterapia Comportamental e Cognitiva I";"4";"60"
"5";"Técnicas Projetivas em Aval. da Personalidade";"4";"60"
"5";"Ética e Atuação Profissional";"2";"30"
"6";"Clínica Psicanalítica Contemporânea";"4";"60"
"6";"Políticas Sociais e Psicologia";"4";"60"
"6";"Prática em Avaliação Psicológica (80h)";"5";"80"
"6";"Psicologia Escolar e Educacional I";"4";"60"
"6";"Psicologia do Trabalho e das Organizações I";"4";"60"
"6";"Psicologia e Instituições";"4";"60"
"6";"Psicoterapia Comport. e Cognitiva II";"2";"30"
"6";"Teorias e Intervenções Sistêmicas I";"4";"60"
"7";"Est. Sup. Esp. em Psic. Clinica A - I (150 Hrs)";"10";"150"
"7";"Est. Sup. Esp. em Psic. Escolar A - I (150 Hrs)";"10";"150"
"7";"Est. Sup. Esp. em Psic. do Trab. A - I (150 Hrs)";"10";"150"
"7";"Estágio Supervisionado Específico em Psicologia Ampliado/ Comunitária A - I";"5";"75"
"7";"Psicologia Escolar e Educacional II";"4";"60"
"7";"Psicologia da Saúde";"4";"60"
"7";"Psicologia do Trabalho e das Organizações II";"4";"60"
"8";"Est. Sup. Esp. em Psic. Clinica A - II (150hrs)";"10";"150"
"8";"Est. Sup. Esp. em Psic. Escolar A - II (150hrs)";"10";"150"
"8";"Est. Sup. Esp. em Psic. do Trab. A - II (150hrs)";"10";"150"
"8";"Estágio Supervisionado Específico em Psicologia Ampliado/ Comunitária A - II";"5";"75"
"8";"Humanismo e Cultura Religiosa";"4";"60"
"8";"Intervenção Psicossocial";"4";"60"
"8";"Tcc I";"2";"30"
"8";"Teorias e Intervenções Sistêmicas II";"4";"60"
"9";"Est. Sup. Esp. em Psic. Clinica B - I (150 Hrs)";"10";"150"
"9";"Est. Sup. Esp. em Psic. Escolar B - I (150 Hrs)";"10";"150"
"9";"Est. Sup. Esp. em Psic. do Trab. B - I (150 Hrs)";"10";"150"
"9";"Estágio Supervisionado Específico em Psicologia Ampliado/ Comunitária B - I";"5";"75"
"9";"Filosofia e Bioética";"4";"60"
"9";"TCC II";"2";"30"
"10";"Atividades Complementares: 120 Horas";"8";"120"
"10";"Est. Sup. Esp. em Psic. Clinica B - II (150hrs)";"10";"150"
"10";"Est. Sup. Esp. em Psic. Escolar B - II (150hrs)";"10";"150"
"10";"Est. Sup. Esp. em Psic. do Trab. B - II (150hrs)";"10";"150"
"10";"Estágio Supervisionado Específico em Psicologia Ampliado/ Comunitária B - II";"5";"75"
"10";"Sociologia Aplicada à Psicologia";"2";"30"
